transaction_id,customer_id,timestamp,amount,currency,transaction_type,merchant_category
TXN-1001,CUST-001,2026-05-01T09:10:00Z,1200,EUR,PAYMENT,Travel
TXN-1002,CUST-001,2026-05-02T10:30:00Z,980,USD,PAYMENT,SaaS
TXN-1003,CUST-002,2026-05-02T11:00:00Z,55000,GBP,PAYMENT,Electronics
TXN-1004,CUST-002,2026-05-03T15:45:00Z,-250,EUR,REFUND,Electronics
TXN-1005,CUST-003,2026-05-04T08:20:00Z,700,USD,PAYMENT,Office
TXN-1006,CUST-003,2026-05-04T08:20:00Z,700,USD,PAYMENT,Office
TXN-1007,CUST-004,2026-05-05T13:05:00Z,3200,GBP,PAYMENT,Cloud
TXN-1008,CUST-001,2026-05-06T18:00:00Z,-100,EUR,PAYMENT,Fees
TXN-1009,CUST-005,2030-01-01T00:00:00Z,90,EUR,PAYMENT,Food
TXN-1010,CUST-002,2026-05-07T09:00:00Z,4200,USD,PAYMENT,Travel
TXN-1003,CUST-002,2026-05-02T11:00:00Z,55000,GBP,PAYMENT,Electronics
TXN-1011,CUST-006,2026-05-08T14:30:00Z,75,EUR,PAYMENT,Food
TXN-1012,CUST-001,2026-05-09T10:10:00Z,1500,GBP,PAYMENT,Travel
TXN-1013,CUST-004,2026-05-10T12:40:00Z,49999,EUR,PAYMENT,Cloud
TXN-1014,CUST-003,2026-05-11T16:15:00Z,250,USD,REFUND,Office
