transaction_id,customer_id,amount,currency,transaction_type,merchant_category,timestamp,is_flagged,account_balance
TXN_00002607,CUST_0197,762.91,EUR,PURCHASE,DINING,2024-01-01 03:48:31,True,50048.08
TXN_00004032,CUST_0147,566.92,EUR,WITHDRAWAL,GROCERY,2024-01-01 05:14:24,False,22023.94
TXN_00004161,CUST_0058,122.32,EUR,PURCHASE,UTILITIES,2024-01-01 09:04:08,False,73366.07
TXN_00008022,CUST_0150,288.4,EUR,PURCHASE,ELECTRONICS,2024-01-01 09:06:55,False,44339.65
TXN_00009601,CUST_0111,57.26,USD,TRANSFER,TRAVEL,2024-01-01 10:14:35,True,86026.65
TXN_00000465,CUST_0068,491.25,EUR,PURCHASE,HEALTHCARE,2024-01-01 11:18:30,False,58215.6
TXN_00005273,CUST_0060,73.54,EUR,TRANSFER,GROCERY,2024-01-01 11:50:20,False,3461.23
TXN_00009568,CUST_0093,144.99,EUR,PURCHASE,GROCERY,2024-01-01 13:34:51,False,17101.18
TXN_00000262,CUST_0051,291.61,EUR,PURCHASE,DINING,2024-01-01 13:39:14,False,91925.9
TXN_00007297,CUST_0115,143.43,USD,PURCHASE,HEALTHCARE,2024-01-01 14:15:44,True,38911.5
TXN_00005823,CUST_0085,-90.26,EUR,REFUND,ELECTRONICS,2024-01-01 14:44:53,False,4406.6
TXN_00006462,CUST_0092,151.07,EUR,TRANSFER,DINING,2024-01-01 15:47:37,False,3451.67
TXN_00004109,CUST_0182,147.93,EUR,PURCHASE,TRAVEL,2024-01-01 16:18:06,False,42201.48
TXN_00007105,CUST_0159,59.63,EUR,PURCHASE,ELECTRONICS,2024-01-01 16:30:54,False,14405.96
TXN_00000154,CUST_0191,6141.14,EUR,PURCHASE,ELECTRONICS,2024-01-01 17:15:22,False,30678.62
TXN_00009797,CUST_0170,43.39,EUR,TRANSFER,UTILITIES,2024-01-01 17:40:08,False,48910.24
